state,county,2000D,2000R,2000O,2004D,2004R,2004O,2008D,2008R,2008O,2012D,2012R,2012O,2016D,2016R,2016O
NE,Clay,774.0,2326.0,115.0,743.0,2543.0,51.0,780.0,2177.0,76.0,667.0,2232.0,48.0,477.0,2422.0,166.0
NE,Colfax,863.0,2338.0,114.0,990.0,2589.0,54.0,1125.0,2018.0,60.0,969.0,2051.0,49.0,859.0,2171.0,184.0
NE,Cuming,857.0,3232.0,126.0,966.0,3330.0,53.0,1274.0,2732.0,81.0,1031.0,2876.0,69.0,719.0,3122.0,233.0
NE,Custer,976.0,4245.0,193.0,1040.0,4518.0,54.0,1192.0,4301.0,85.0,1083.0,4296.0,119.0,641.0,4695.0,316.0
NE,Dakota,2695.0,3119.0,247.0,3027.0,3526.0,62.0,2994.0,3292.0,110.0,2922.0,3094.0,120.0,2314.0,3616.0,349.0
NE,Dawes,823.0,2549.0,249.0,1119.0,2809.0,66.0,1285.0,2376.0,114.0,1132.0,2478.0,118.0,801.0,2632.0,243.0
NE,Dawson,1740.0,5511.0,256.0,1728.0,6149.0,79.0,2399.0,5460.0,127.0,2199.0,5460.0,200.0,2136.0,5984.0,515.0
NE,Deuel,213.0,783.0,37.0,222.0,820.0,11.0,243.0,732.0,18.0,215.0,763.0,39.0,120.0,809.0,55.0
NE,Dixon,820.0,1834.0,138.0,938.0,2028.0,43.0,946.0,1785.0,63.0,870.0,1745.0,71.0,556.0,2041.0,185.0
NE,Dodge,5021.0,8871.0,580.0,5250.0,10716.0,206.0,6689.0,8557.0,304.0,5673.0,8995.0,282.0,4544.0,9933.0,1052.0
NE,Douglas,73347.0,101025.0,8784.0,83330.0,120813.0,2928.0,116810.0,106291.0,3600.0,106456.0,113220.0,4251.0,113798.0,108077.0,18558.0
NE,Dundy,179.0,801.0,31.0,186.0,858.0,9.0,218.0,783.0,18.0,176.0,792.0,17.0,89.0,823.0,41.0
NE,Fillmore,848.0,2024.0,126.0,828.0,2314.0,51.0,962.0,1913.0,72.0,807.0,2007.0,65.0,613.0,2130.0,198.0
NE,Franklin,420.0,1196.0,52.0,412.0,1277.0,25.0,442.0,1079.0,31.0,384.0,1112.0,40.0,250.0,1347.0,76.0
NE,Frontier,244.0,1102.0,47.0,275.0,1160.0,32.0,349.0,1034.0,21.0,271.0,1007.0,27.0,161.0,1110.0,57.0
NE,Furnas,534.0,1849.0,48.0,492.0,1950.0,25.0,556.0,1725.0,47.0,423.0,1782.0,35.0,304.0,1921.0,115.0
NE,Gage,3516.0,5538.0,452.0,3655.0,6575.0,154.0,4473.0,5435.0,252.0,3903.0,5513.0,245.0,2935.0,6380.0,733.0
NE,Garden,203.0,963.0,53.0,201.0,970.0,12.0,283.0,844.0,11.0,242.0,829.0,20.0,153.0,869.0,53.0
NE,Garfield,202.0,718.0,43.0,196.0,806.0,15.0,212.0,800.0,18.0,149.0,769.0,22.0,121.0,821.0,38.0
NE,Gosper,228.0,757.0,29.0,222.0,890.0,7.0,260.0,776.0,12.0,230.0,734.0,14.0,166.0,794.0,50.0
NE,Grant,49.0,324.0,12.0,41.0,352.0,3.0,41.0,318.0,8.0,30.0,322.0,11.0,20.0,367.0,18.0
NE,Greeley,416.0,839.0,55.0,361.0,865.0,22.0,458.0,715.0,26.0,340.0,820.0,25.0,210.0,912.0,53.0
NE,Hall,5952.0,11803.0,791.0,6228.0,14592.0,334.0,7855.0,12977.0,439.0,7161.0,12646.0,422.0,6282.0,14408.0,1370.0
NE,Hamilton,1066.0,3251.0,174.0,1012.0,3785.0,69.0,1332.0,3389.0,78.0,1146.0,3600.0,125.0,878.0,3783.0,343.0
NE,Harlan,438.0,1358.0,56.0,398.0,1467.0,32.0,402.0,1329.0,35.0,354.0,1395.0,29.0,254.0,1496.0,82.0
NE,Hayes,66.0,486.0,19.0,66.0,524.0,8.0,85.0,461.0,7.0,51.0,476.0,12.0,30.0,472.0,12.0
NE,Hitchcock,312.0,1126.0,42.0,296.0,1171.0,19.0,346.0,1001.0,32.0,274.0,1178.0,43.0,161.0,1232.0,75.0
NE,Holt,846.0,3954.0,159.0,894.0,4217.0,63.0,1089.0,3746.0,139.0,882.0,3922.0,135.0,531.0,4354.0,233.0
NE,Hooker,74.0,317.0,18.0,64.0,392.0,5.0,75.0,355.0,8.0,59.0,330.0,6.0,40.0,355.0,22.0
