state,county,2008D,2012D,2016D,2020D,2008R,2012R,2016R,2020R,2008O,2012O,2016O,2020O
IA,Linn,65094,70403,63951,58412,34094,45102,42839,65065,9980,4894,13565,10519
IA,Louisa,2720,2733,2076,1375,2617,2529,2793,3859,160,131,231,401
IA,Lucas,2188,2255,1629,1102,2584,2407,2669,3593,146,101,188,297
IA,Lyon,1856,1697,1245,656,4769,5069,5037,6222,146,132,215,376
IA,Madison,3844,3890,3164,2375,5020,4899,5140,6010,341,249,437,767
IA,Mahaska,4329,4440,3385,2035,6341,6624,7130,9352,331,260,430,725
IA,Marion,7208,7680,6304,4663,9348,10124,10690,13763,762,289,937,1108
IA,Marshall,9680,10516,8750,6687,7714,8532,9051,12387,682,294,804,1010
IA,Mills,3097,3032,2463,1787,4378,4360,4781,6338,294,211,391,712
IA,Mitchell,3205,3123,2440,1565,2822,2762,2944,3871,198,156,274,476
IA,Monona,2268,2366,1720,1269,2767,2683,2875,3780,127,102,168,261
IA,Monroe,1904,1984,1411,1029,2398,2192,2408,3127,106,85,139,212
IA,Montgomery,2408,2208,1730,1060,2819,3011,3226,4822,159,137,235,418
IA,Muscatine,10467,11400,9504,7178,7744,8333,9216,12819,899,443,1103,1677
IA,O'Brien,2350,2276,1759,1278,5074,5360,5533,7118,193,157,275,488
IA,Osceola,1308,1209,787,339,2288,2325,2359,3181,84,60,105,156
IA,Page,2948,2822,2247,1478,4094,4364,4715,6804,197,165,281,499
IA,Palo Alto,2411,2421,1852,1416,2591,2706,2822,4003,131,107,181,290
IA,Plymouth,4508,4492,3610,2459,8515,8967,9280,11143,336,259,482,966
IA,Pocahontas,1866,1815,1332,931,2403,2475,2515,3430,122,120,167,268
IA,Polk,116863,128645,125024,123049,77559,96740,92104,101127,15682,8929,23700,18621
IA,Pottawattamie,18670,19126,17076,13344,18878,21664,23774,35488,2034,1126,2387,2683
IA,Poweshiek,5524,5624,4831,3942,4288,4490,4761,6474,334,250,428,747
IA,Ringgold,1418,1435,986,716,1753,1549,1660,2155,77,53,100,154
IA,Sac,2350,2408,1736,1120,3019,3130,3373,4823,137,95,186,300
IA,Scott,46323,49678,44355,35707,31455,37245,36614,48775,6157,3053,7822,6171
IA,Shelby,2891,2739,2155,1357,3521,3873,4090,6021,193,152,273,483
IA,Sioux,3129,2881,2565,2115,13378,14844,14948,17908,630,262,798,1280
IA,Story,25519,26269,25697,25479,17470,19831,19913,24408,4917,2557,6125,5180
IA,Tama,4831,5035,3943,2657,3963,4127,4590,6617,318,212,414,744
IA,Taylor,1593,1551,1050,555,1836,1791,1909,2746,99,63,125,188
IA,Union,3166,3309,2454,1557,2974,2912,3250,4566,223,148,284,494
IA,Van Buren,1675,1676,1170,780,2262,2186,2327,3156,118,113,158,249
IA,Wapello,7877,8818,6986,5435,6872,7039,8136,11383,520,196,605,632
IA,Warren,11921,12766,11313,9594,12994,13893,14441,17185,1259,472,1589,1630
IA,Washington,5190,5336,4479,3523,5218,5605,5926,8065,461,386,611,1142
IA,Wayne,1513,1522,1019,634,1873,1730,1872,2560,88,71,119,186
IA,Webster,9202,9853,7793,5111,8469,8844,9672,12599,590,237,711,917
IA,Winnebago,3253,3161,2478,1576,2896,2965,3190,4507,218,165,303,553
IA,Winneshiek,6543,6399,5760,4727,4121,4550,5005,7619,437,265,542,936
IA,Woodbury,20513,22264,18907,13537,22213,23195,24311,29584,1894,1159,2383,3442
IA,Worth,2696,2645,2002,1243,2010,1860,2131,3052,149,113,213,364
IA,Wright,3182,3162,2447,1616,3322,3422,3599,4882,184,140,261,461
KS,Allen,2359,2168,1765,1259,3562,3488,3624,4554,211,177,294,524
KS,Anderson,1269,1203,877,748,2543,2454,2423,2907,144,123,200,326
KS,Atchison,3193,2936,2497,1908,4036,4089,4011,4607,311,252,409,729
KS,Barber,932,797,560,394,2150,1995,1873,1990,64,61,90,156
KS,Barton,3010,2680,2314,1747,7317,7992,8016,9991,365,207,415,661
KS,Bourbon,2498,2341,1803,1108,4386,4320,4395,5142,212,199,289,482
KS,Brown,1523,1363,1064,806,3124,3032,2962,3377,147,121,212,365
KS,Butler,8354,7647,7274,6113,17986,19304,19483,22089,1289,764,1438,1782
KS,Chase,874,781,557,497,1220,1091,967,1109,45,39,64,112
KS,Chautauqua,915,774,569,465,1593,1518,1318,1433,44,46,44,51
KS,Cherokee,3296,3247,2645,2147,5934,5785,6121,7270,270,234,349,581
KS,Cheyenne,915,780,570,465,1337,1329,1164,1458,39,34,43,60
KS,Clark,905,782,567,472,1110,1020,848,959,35,36,46,78
KS,Clay,1315,1116,829,475,3074,2984,2948,3461,127,96,192,338
KS,Cloud,1417,1262,963,717,3233,3165,3029,3347,154,150,214,355
KS,Coffey,1334,1179,898,675,3140,3081,3069,3685,152,136,233,430
KS,Comanche,906,787,567,466,1080,997,752,682,29,19,36,59
KS,Cowley,4905,4711,4138,3360,7800,8296,8485,10587,489,367,579,943
KS,Crawford,7398,7284,6213,4579,7445,7905,8467,11194,655,462,728,1059
KS,Decatur,902,781,562,459,1405,1393,1211,1454,32,42,49,98
KS,Dickinson,2498,2329,1958,1610,6030,6108,6112,6956,332,256,429,764
KS,Doniphan,1321,1199,823,457,2623,2573,2543,3073,114,99,153,239
KS,Douglas,33168,28774,31774,37030,14913,16986,16458,19740,3442,2124,4422,5281
KS,Edwards,867,780,551,491,1279,1249,1037,1155,44,31,55,85
KS,Elk,906,783,558,437,1312,1250,1058,1168,41,40,44,57
KS,Ellis,3784,3429,3209,2993,8549,8856,8546,8711,430,333,581,1118
KS,Ellsworth,1120,982,683,418,2122,2095,1996,2459,110,93,152,246
KS,Finney,3456,2863,3146,3333,6420,6498,6599,7820,349,249,450,807
KS,Ford,3064,2809,2462,1952,5120,5650,5414,6756,261,216,350,620
KS,Franklin,4293,4022,3475,2616,6983,7260,7254,8366,514,375,642,1144
KS,Geary,3584,3451,3007,2447,4487,4569,4408,4949,275,205,372,689
KS,Gove,924,783,576,464,1419,1368,1159,1252,35,38,43,69
KS,Graham,903,782,564,464,1356,1273,1058,1078,49,31,57,85
KS,Grant,1000,800,608,439,2093,2010,1885,2192,73,50,105,174
KS,Gray,932,780,574,445,1829,1773,1683,2074,61,37,79,123
KS,Greeley,917,793,570,448,913,793,574,483,12,13,22,50
KS,Greenwood,757,727,562,806,1609,1637,1898,3243,90,70,149,280
KS,Hamilton,915,785,571,461,1080,938,756,746,31,22,37,58
KS,Harper,993,828,600,424,2138,1961,1990,2452,109,95,152,250
KS,Harvey,6113,5683,5454,4913,8534,8936,8937,10321,713,392,837,1282
KS,Haskell,943,790,584,453,1467,1388,1147,1156,34,23,49,88
KS,Hodgeman,897,789,562,461,1130,1074,867,945,27,14,29,43
KS,Jackson,2454,2218,1852,1366,4086,3813,3922,4347,218,184,296,515
KS,Jefferson,3584,3314,2934,2399,5215,5105,5249,6101,358,273,453,788
KS,Jewell,866,766,561,540,1371,1394,1224,1578,58,39,72,111
KS,Johnson,132937,108749,120820,118041,132501,155776,143112,145544,16817,10176,26202,22628
KS,Kearny,927,798,562,397,1432,1323,1124,1143,34,21,47,81
KS,Kingman,1204,1024,755,498,2684,2584,2565,3092,132,117,174,267
KS,Kiowa,870,779,558,509,1015,1119,893,1262,30,11,46,90
KS,Labette,3747,3505,2916,2046,4967,4945,5247,6610,298,230,369,623
KS,Lane,911,797,562,428,1099,979,765,708,30,18,35,55
KS,Leavenworth,12142,11784,11097,9804,17120,18262,18002,18876,1667,903,1960,2366
KS,Lincoln,877,777,557,495,1397,1352,1191,1429,43,32,56,96
KS,Linn,1416,1422,1019,891,3470,3372,3384,3870,139,131,178,264
KS,Logan,889,787,560,475,1432,1338,1164,1271,45,30,58,92
KS,Lyon,5776,5447,5092,4478,5897,6484,6688,9141,658,344,765,1135
KS,McPherson,4179,3748,3565,3159,8369,8840,8839,10380,565,367,690,1194
KS,Marion,1987,1691,1447,1085,4052,4067,4082,4942,221,188,328,631
KS,Marshall,1876,1760,1379,1077,3375,3367,3293,3815,168,144,239,410
KS,Meade,915,777,572,473,1659,1614,1465,1764,54,29,70,109
KS,Miami,5434,5018,4571,3671,9845,10371,10048,10436,602,327,714,1121
KS,Mitchell,981,846,605,453,2553,2511,2380,2754,94,69,124,191
KS,Montgomery,4046,3868,3302,2660,8885,9094,9026,9912,426,342,518,857
KS,Morris,1116,984,727,583,2078,1975,1857,2112,112,90,160,265
KS,Morton,876,779,560,506,1334,1282,1063,1164,31,19,37,59
KS,Nemaha,1564,1332,1016,625,3986,4074,4059,4881,167,133,222,368
KS,Neosho,2619,2402,1951,1362,4477,4477,4483,5246,235,208,315,537
KS,Ness,851,765,556,554,1394,1380,1222,1521,40,22,50,80
KS,Norton,924,784,562,419,2021,2038,1873,2252,67,54,89,142
KS,Osage,2599,2542,2104,1805,4977,4745,4857,5379,292,265,380,642
KS,Osborne,875,772,556,500,1722,1671,1491,1679,58,41,74,116
KS,Ottawa,1041,848,606,330,2581,2500,2337,2525,111,95,157,260
KS,Pawnee,1184,1009,722,411,2055,2006,1924,2379,97,72,137,222
KS,Phillips,897,762,567,505,2319,2293,2206,2664,72,56,100,163
KS,Pottawatomie,2829,2571,2381,2184,7351,7210,7435,8063,520,414,635,1085
KS,Pratt,1501,1291,996,660,2876,2911,2851,3536,132,85,176,293
KS,Rawlins,904,777,572,494,1439,1407,1236,1476,50,33,66,107
KS,Reno,9061,8608,7822,6313,14533,16017,16277,19995,1147,772,1351,2090
KS,Republic,971,802,590,429,2137,2258,2040,2486,83,78,106,162
KS,Rice,1358,1202,897,627,2765,2798,2818,3696,151,128,218,376
KS,Riley,9958,9337,9530,9382,11066,11851,11074,11397,1300,811,1693,2981
KS,Rooks,869,762,558,526,2305,2235,2077,2294,71,65,93,147
KS,Rush,908,771,561,456,1518,1389,1225,1280,60,43,64,86
KS,Russell,950,845,606,530,2694,2709,2583,3044,88,68,122,196
KS,Saline,7792,7499,6960,6038,13227,14335,14402,16909,1177,781,1457,2442
KS,Scott,887,781,562,490,2037,1920,1858,2203,60,50,79,126
KS,Sedgwick,81500,70031,71171,75336,96323,108089,105970,109551,14772,8294,22203,18290
KS,Seward,1895,1674,1585,1591,3536,3755,3438,3987,129,100,193,338
KS,Shawnee,40528,37340,36747,35324,36151,36560,36269,41772,5180,2916,6320,5146
KS,Sheridan,925,784,574,455,1426,1351,1181,1306,22,19,35,73
KS,Sherman,1002,857,587,334,2190,2141,2059,2477,100,83,140,226
KS,Smith,848,758,556,563,1929,1827,1698,1922,55,43,67,100
KS,Stafford,939,777,571,427,1672,1575,1490,1818,62,53,80,127
KS,Stanton,924,793,572,442,833,816,566,618,20,12,22,33
KS,Stevens,885,783,562,491,1975,1950,1709,1846,45,34,56,86
KS,Sumner,3303,3033,2592,1980,6627,6597,6960,8397,422,266,491,790
KS,Thomas,1008,866,631,497,2988,2955,2907,3466,108,100,157,270
KS,Trego,909,771,567,473,1545,1471,1255,1288,37,29,45,71
KS,Wabaunsee,1304,1180,901,716,2547,2446,2395,2825,140,120,192,309
KS,Wallace,898,789,567,477,997,931,717,742,21,13,24,43
KS,Washington,960,812,582,421,2366,2456,2248,2677,110,71,143,222
KS,Wichita,888,790,563,481,1128,1048,811,776,27,12,33,56
KS,Wilson,1373,1145,838,438,2818,2938,2831,3592,136,101,171,265
KS,Woodson,904,768,564,475,1276,1222,1071,1299,52,37,68,108
KS,Wyandotte,37630,33316,33169,32344,14953,16064,16536,20244,1940,1253,2183,2523
KY,Adair,1838,1871,1500,1448,5953,6074,6343,7679,168,131,221,361
KY,Allen,2207,2102,1666,1243,5798,5539,6102,7361,161,131,227,374
KY,Anderson,3620,3580,3019,2431,7519,7295,7852,8978,324,212,394,640
KY,Ballard,1355,1407,1053,1129,3073,2857,2973,3419,92,54,103,140
KY,Barren,5503,5703,4826,3930,11971,12050,13004,15255,414,270,505,809
KY,Bath,1977,1992,1682,1870,2704,2447,2779,3633,108,83,124,167
KY,Bell,1810,2259,2051,3468,7145,7425,7541,8754,162,149,205,302
KY,Boone,15575,15880,15466,14915,36367,38506,38153,41583,2686,1511,3413,4302
KY,Bourbon,3577,3387,3068,2757,5105,4953,5346,6550,247,207,342,616
KY,Boyd,7227,7874,7138,7880,11900,11960,13163,16153,478,372,573,864
KY,Boyle,4897,4787,4518,4437,7830,8086,8059,8930,355,259,457,810
KY,Bracken,1454,1422,963,579,2303,2153,2454,3508,90,56,96,125
KY,Breathitt,1503,1654,1685,2987,3512,3454,3613,4477,163,141,187,254
KY,Breckinridge,3197,3142,2478,1690,5555,5320,6101,7994,200,159,271,461
KY,Bullitt,9807,10244,9046,7560,21949,23159,24815,31738,919,418,1098,1306
KY,Butler,1767,1603,1225,800,3836,3832,4181,5639,108,73,152,250
KY,Caldwell,2217,2148,1670,1280,4122,4073,4311,5400,134,104,173,259
KY,Calloway,6001,5718,5271,4572,9271,9848,10156,12188,533,354,647,1085
KY,Campbell,15303,15922,15346,15186,22318,24497,24782,29640,1945,1196,2362,3177
KY,Carlisle,971,981,657,638,2081,1995,1969,2387,49,33,59,86
KY,Carroll,1901,1894,1404,1025,2349,2158,2379,3163,106,65,128,186
KY,Carter,3101,3502,3020,3871,5971,5639,6844,9297,288,269,358,541
KY,Casey,1450,1362,982,663,4818,5012,5255,6805,110,107,155,257
KY,Christian,8455,8395,7705,6577,13494,14304,14408,16212,452,280,554,941
KY,Clark,5659,5585,5143,4800,10086,10537,10611,11705,456,307,561,961
KY,Clay,1385,1360,1044,1102,6005,6374,5958,6316,116,102,134,178
KY,Clinton,927,961,639,646,3741,3741,3704,4261,71,71,87,127
KY,Crittenden,1266,1222,869,746,2997,2965,3074,3903,87,60,106,153
KY,Cumberland,880,828,586,597,2268,2310,2344,3178,65,46,83,128
KY,Daviess,17090,16216,15401,13689,23040,25504,27099,37113,1890,1026,2202,2421
KY,Edmonson,1634,1620,1254,1187,3881,3501,3936,4854,80,66,104,159
KY,Elliott,1276,1390,1027,1249,1549,1272,1588,2295,84,74,96,121
KY,Estill,1503,1547,1277,1520,4098,3970,4085,4716,117,94,161,257
KY,Fayette,67982,64748,65158,73228,46964,59646,53953,64753,8638,5281,15688,22408
KY,Fleming,2221,2185,1740,1498,3858,3869,4303,5918,133,100,161,233
KY,Floyd,4044,4653,5150,9337,9567,10069,10908,13861,362,302,418,562
KY,Franklin,11527,12131,11372,11049,11488,11999,12135,13790,815,506,909,1270
KY,Fulton,1352,1278,967,853,1815,1646,1555,1715,55,35,53,63
KY,Gallatin,1544,1518,1019,547,2243,1950,2216,2880,87,58,114,172
KY,Garrard,2228,1976,1702,1362,5664,5592,5697,6264,148,129,215,367
KY,Grant,3177,3116,2441,1617,5877,5886,6732,9134,217,177,299,518
KY,Graves,4981,4894,4234,3748,11026,11478,12148,14437,378,288,460,733
KY,Grayson,3204,3074,2476,1714,6779,6734,7755,10488,235,169,300,518
KY,Green,1372,1393,1009,888,4089,3865,4184,5128,92,55,106,148
KY,Greenup,5413,6112,5151,5400,9786,9699,10859,13340,356,242,422,594
KY,Hancock,2265,2102,1620,984,2248,2270,2477,3646,145,117,208,350
KY,Hardin,14855,15254,14507,13345,23565,24529,26172,33426,1460,855,1823,2807
KY,Harlan,1364,1855,1708,3395,8275,8872,8745,9959,187,185,228,316
KY,Harrison,2988,2794,2411,2001,4739,4725,5150,6700,204,170,266,436
KY,Hart,2343,2477,2005,1963,4924,4580,5033,5948,143,90,172,256
KY,Henderson,8988,8373,7635,5910,9780,10613,11651,15884,507,213,593,790
KY,Henry,2872,2795,2232,1581,4501,4207,4665,5731,204,160,290,511
KY,Hickman,988,933,640,546,1775,1626,1578,1833,39,24,42,59
KY,Hopkins,6500,6184,5277,3690,12891,14202,14800,18639,426,241,501,695
KY,Jackson,989,871,620,487,4758,4625,4767,5451,92,85,110,150
KY,Jefferson,197291,186302,190983,187065,130471,146268,145494,155696,16031,9552,24916,21509
KY,Jessamine,6429,6287,6194,6261,14387,15247,15386,16859,1061,497,1333,1989
KY,Johnson,1748,1894,1635,2298,6927,7303,7546,9290,198,213,244,344
KY,Kenton,24927,24886,24552,24605,36387,41464,40561,49741,4290,2352,5485,5546
KY,Knott,1072,1457,1553,3664,4005,4174,4038,4733,138,136,148,162
KY,Knox,2460,2659,2251,2694,8780,8996,9492,11184,234,195,302,508
KY,Larue,2107,2020,1580,1174,4539,4207,4596,5463,165,137,235,391
KY,Laurel,3985,4088,3877,4591,18626,19723,20388,23605,457,416,617,1166
KY,Lawrence,1594,1713,1392,1792,4015,4082,4416,5930,128,93,152,220
KY,Lee,926,840,604,575,2273,2162,2108,2459,55,49,61,80
KY,Leslie,714,705,587,1027,4099,4515,4036,4512,69,74,71,80
KY,Letcher,1492,1765,1808,3497,6497,6897,6837,7991,211,186,250,304
KY,Lewis,1543,1594,1104,862,3391,3382,3944,5842,100,100,125,182
KY,Lincoln,2781,2837,2274,1917,6878,6820,7068,7881,216,198,305,537
KY,Livingston,1478,1561,1173,1262,3460,3290,3372,3815,110,81,149,231
KY,Logan,3792,3764,3218,2766,7350,7338,7592,8547,219,177,293,494
KY,Lyon,1611,1604,1267,1256,2724,2590,2622,3052,79,58,101,154
KY,McCracken,10482,10632,10000,9670,19607,21141,20864,22400,856,565,959,1354
KY,McCreary,1245,1298,904,869,4606,4714,4775,5739,80,74,88,108
KY,McLean,2051,1795,1396,825,2840,2798,3048,4165,114,80,154,243
KY,Madison,12212,12329,12177,12390,20837,22421,22787,26426,1347,859,1694,2778
KY,Magoffin,1593,1624,1464,2081,3035,3355,3431,4991,102,72,105,125
KY,Marion,3742,3719,3112,2476,4361,4042,4690,6088,210,108,248,377
KY,Marshall,4821,5196,4470,4591,10688,11102,11716,13826,386,276,483,730
KY,Martin,596,729,544,1105,3208,3281,3311,4199,71,69,77,94
KY,Mason,3023,2897,2383,1776,4358,4349,4680,6034,189,129,243,407
KY,Meade,4332,4347,3575,2630,7049,6983,8093,10897,308,236,401,691
KY,Menifee,1427,1333,952,648,1707,1606,1714,2372,63,62,63,69
KY,Mercer,3178,3209,2746,2565,7196,7223,7518,8643,248,205,343,623
KY,Metcalfe,1529,1632,1173,1037,3239,2905,3235,3943,113,79,129,173
KY,Monroe,1213,1191,806,607,3252,3671,4008,6371,75,52,91,134
KY,Montgomery,3945,3950,3590,3689,6858,6782,7321,8695,253,201,333,578
KY,Morgan,1477,1561,1299,1745,2940,3054,3247,4595,111,89,124,162
KY,Muhlenberg,5190,5124,4342,3694,7479,7956,8663,11620,262,227,333,520
KY,Nelson,7546,7789,6923,5910,11159,11540,12695,15914,572,194,680,756
KY,Nicholas,1384,1226,977,855,1952,1768,1838,2303,72,52,81,111
KY,Ohio,3785,3387,2815,1769,6205,6566,7328,10300,247,225,323,520
KY,Oldham,10034,9724,10138,10755,19383,21208,20677,22202,1402,674,1777,2572
KY,Owen,1886,1792,1358,947,3342,3145,3478,4482,121,99,160,245
KY,Owsley,882,765,568,535,1446,1419,1384,1935,28,19,26,30
KY,Pendleton,2175,2157,1572,990,3884,3714,4275,5870,145,133,201,324
KY,Perry,1894,2092,2436,4809,7673,8210,7915,8698,188,164,240,361
KY,Pike,4825,5524,6028,10852,15458,17873,18346,24395,416,274,467,597
KY,Powell,1987,1887,1583,1536,3358,3015,3294,3871,104,96,139,215
KY,Pulaski,5189,5255,4762,4681,20673,22139,22536,25966,537,313,620,911
KY,Robertson,938,786,566,405,838,766,658,894,31,16,28,33
KY,Rockcastle,1616,1402,1129,837,5182,5237,5385,6378,118,94,141,196
KY,Rowan,3691,3647,3578,4261,4374,4221,4757,6220,244,234,329,548
KY,Russell,1624,1660,1301,1309,6175,6513,6624,8079,141,115,182,270
KY,Scott,7837,7776,7704,7788,12967,13558,14361,16932,861,432,1075,1746
KY,Shelby,6847,6745,6434,6027,12141,12661,12960,14379,642,277,785,1166
KY,Simpson,2921,2906,2453,2167,4915,4664,4899,5527,175,129,243,421
KY,Spencer,2751,2727,2202,1663,6222,6019,6628,7931,219,176,311,520
KY,Taylor,3440,3536,2897,2346,8036,8051,8184,8842,242,166,314,553
KY,Todd,1757,1676,1283,967,3697,3492,3550,3957,81,67,101,147
KY,Trigg,2481,2400,1911,1398,4766,4748,4753,5297,140,124,193,312
KY,Trimble,1687,1638,1169,748,2568,2318,2574,3329,99,60,118,168
KY,Union,2698,2311,1888,1101,3701,3946,4235,6073,125,92,150,217
KY,Warren,17086,17391,17322,17554,26362,27591,27844,30855,1987,1059,2530,3507
KY,Washington,2153,1965,1647,1306,3633,3628,3793,4788,120,77,156,246
KY,Wayne,1992,2057,1729,1958,5431,5482,5936,7575,131,71,150,216
KY,Webster,2375,2128,1709,1155,3653,3690,3982,5352,116,90,140,190
KY,Whitley,2951,2933,2591,2783,10597,10938,11125,12168,256,175,307,485
KY,Wolfe,1384,1251,1014,1034,1837,1717,1678,1983,67,42,68,86
KY,Woodford,5287,5137,5013,5061,7535,7645,7626,8177,507,295,652,1203
LA,Acadia,5466,6429,6239,8773,19531,20628,20857,22606,444,264,481,619
LA,Allen,2354,2695,2398,3299,6688,6656,6681,7030,242,215,259,347
LA,Ascension,15625,17091,16606,17767,33449,34616,35156,38302,1232,1042,1389,1957
LA,Assumption,4219,4791,4316,5211,6413,6285,6464,6999,227,184,244,351
LA,Avoyelles,5693,6206,5605,6090,10590,10987,10965,11538,369,276,372,502
LA,Beauregard,2748,2957,2665,3279,11297,11714,11952,13085,324,302,385,559
LA,Bienville,3843,3771,3378,3075,4092,3919,3815,3941,38,61,105,270
LA,Bossier,12885,13707,13083,13046,34647,36845,35913,36926,999,762,1265,2262
LA,Caddo,54563,60186,55482,52226,46530,52637,48693,50509,2289,1637,2863,3996
LA,Calcasieu,25525,27164,26662,29829,51985,55246,53594,55102,2457,1719,2528,2260
LA,Caldwell,1181,1218,917,1029,4053,3864,3808,3967,80,65,78,89
LA,Cameron,481,635,503,1215,3340,3412,3251,3709,101,85,106,129
LA,Catahoula,1832,1666,1467,1439,3745,3110,3466,3799,71,48,59,57
LA,Claiborne,3334,3271,2910,2680,3961,3893,3702,3858,79,74,102,157
LA,Concordia,4025,4064,3543,3126,5910,5812,5615,5616,93,99,115,167
LA,De Soto,5620,5815,5323,5158,7528,7660,7772,8568,177,172,235,369
LA,East Baton Rouge,98469,106113,105594,104487,81588,91639,85148,91344,10533,5383,15189,13782
LA,East Carroll,2612,2688,2101,1612,1537,1692,1209,1113,27,22,38,76
LA,East Feliciana,4746,4869,4396,4184,5762,5689,5577,5749,169,174,211,303
LA,Evangeline,5632,5677,4887,4044,10057,10438,10258,10532,318,268,316,410
LA,Franklin,3209,3178,2755,2470,6573,6643,6527,6920,115,124,137,189
LA,Grant,1390,1556,1286,1751,7263,7321,7274,7604,186,175,212,276
LA,Iberia,11968,12667,11628,10933,20353,21934,21252,21744,635,355,670,797
LA,Iberville,9157,9803,8787,7984,7449,7550,7335,7413,264,245,354,634
LA,Jackson,2592,2526,2295,2403,5465,5438,5253,5408,112,104,136,189
LA,Jefferson,53849,73292,67096,91218,100247,99658,96682,108512,8400,4686,10417,8135
LA,Jefferson Davis,3344,3589,3397,4382,9960,10387,10462,11455,337,263,373,557
LA,Lafayette,32881,33394,33418,34998,63818,70422,67392,70892,4028,2514,4919,5047
LA,Lafourche,6296,8770,9314,16956,28329,29156,30417,35245,1212,809,1133,1055
LA,La Salle,929,962,691,842,5956,5964,5808,5968,102,89,114,147
LA,Lincoln,8125,8240,7560,6751,10607,11264,11017,11898,467,373,605,1126
LA,Livingston,4983,6853,7126,12659,45837,47541,47254,49383,1309,1069,1356,1547
LA,Madison,3347,3271,2900,2566,2268,2203,2033,2272,52,39,55,75
LA,Morehouse,5960,6139,5486,4934,6940,6958,6830,7345,151,150,185,270
LA,Natchitoches,7924,8287,7530,6929,8931,9455,9197,10007,255,262,461,1063
LA,Orleans,68806,127242,132730,448859,13460,22903,27008,69324,8706,4643,12197,11863
LA,Ouachita,24370,26312,24502,22254,41277,42826,41854,44129,1072,1089,1291,2071
LA,Plaquemines,3132,3592,3401,4664,6289,6615,6969,9208,223,209,291,466
LA,Pointe Coupee,5374,5648,5134,5237,6884,6747,6734,6881,198,166,197,228
LA,Rapides,19563,20688,19408,17925,37563,39210,37938,37135,1111,884,1128,1338
LA,Red River,2336,2429,2059,2099,2723,2684,2473,2636,72,73,84,117
LA,Richland,3661,3622,3291,3143,6210,6183,6183,6610,129,113,142,182
LA,Sabine,2087,2326,1937,2326,7743,8048,7804,8179,178,141,189,254
LA,St. Bernard,1173,4244,4579,13486,4344,7470,10883,28022,475,422,518,706
LA,St. Charles,8425,9141,8771,9707,16382,17017,16966,17856,629,565,726,1081
LA,St. Helena,3909,3965,3515,3251,2891,2744,2552,2509,97,92,108,142
LA,St. James,7125,7342,6724,6223,5656,5425,5435,5585,147,144,195,314
LA,St. John the Baptist,12633,13467,12857,12765,8359,8165,8073,8378,386,368,446,642
LA,St. Landry,19224,19927,18523,16421,21232,22019,22013,22923,611,429,627,775
LA,St. Martin,8542,9518,8911,10017,15291,16339,16526,18295,455,407,523,799
LA,St. Mary,8943,9716,8741,8464,13756,14754,14502,15490,403,314,422,588
LA,St. Tammany,24690,26614,26738,30623,83870,91582,89589,92493,5772,3330,7268,6784
LA,Tangipahoa,16891,18410,17438,17407,32366,32312,33497,36619,1011,900,1066,1374
LA,Tensas,1970,1832,1505,1200,1554,1454,1263,1349,21,18,29,57
LA,Terrebonne,9936,11782,11470,14923,29248,30517,30918,34136,1068,727,1009,1010
LA,Union,3279,3301,2917,2832,7909,8021,7977,8503,154,150,215,369
LA,Vermilion,4168,5420,5427,9172,18514,19628,19817,21509,556,347,579,746
LA,Vernon,3193,3341,3015,3457,12507,12997,13278,14586,349,320,418,626
LA,Washington,5948,6568,6001,6583,12326,12571,12647,13330,315,336,353,451
LA,Webster,6537,7003,6523,6916,11624,12144,11807,12073,191,223,382,999
LA,West Baton Rouge,5550,5878,5429,5665,6994,7145,6899,7003,247,204,320,538
LA,West Carroll,942,1023,764,1028,4310,3944,4015,4186,70,70,71,79
LA,West Feliciana,2772,2679,2376,2202,3588,3478,3360,3521,83,82,131,246
LA,Winn,2225,2160,1842,1743,4949,4833,4677,4747,102,85,110,141
ME,Androscoggin,28036,28382,25288,19279,22473,23526,26913,39629,3589,2289,4736,5975
ME,Aroostook,17585,18150,15783,12493,15798,16463,18938,26679,1438,1089,1589,2086
ME,Cumberland,104234,104016,103159,103931,55064,61344,57909,59551,12518,7106,19383,18908
ME,Franklin,9420,9717,8199,6093,6616,6647,7557,10259,934,661,1084,1699
ME,Hancock,17901,18243,17316,16274,12050,12883,13766,17698,1076,1083,2040,5432
ME,Kennebec,34690,34496,31475,25926,27851,27934,30748,40708,4083,2645,6937,12292
ME,Knox,13263,13654,13005,12338,8713,8772,9165,10696,648,728,1447,4645
ME,Lincoln,11460,11758,10924,9941,9122,9387,9750,11548,905,661,1082,1794
ME,Oxford,16215,16658,14362,11081,12647,12990,15612,22843,1823,1397,2164,3030
ME,Penobscot,39835,38648,36096,31934,39275,39422,40328,45946,6261,3263,8788,9370
ME,Piscataquis,4347,4442,3686,2996,4787,4717,5207,6885,401,348,540,1017
ME,Sagadahoc,11749,12156,11289,10266,8660,8886,9262,11005,970,667,1230,2200
ME,Somerset,11865,12545,10793,9033,11965,12594,14396,19841,1028,991,1556,3402
ME,Waldo,11618,11912,11148,10381,9246,9542,10253,12878,1051,912,1415,2746
ME,Washington,7917,8198,6980,5485,8298,8131,8857,10643,663,578,852,1563
ME,York,63190,61898,58155,56611,39008,44902,45238,61547,9095,4592,12626,10993
MD,Allegany,9938,10262,8999,7550,18600,20302,21041,25879,912,840,1029,1452
MD,Anne Arundel,122663,128782,132163,130047,117083,126815,124842,128434,16633,10656,25424,22633
