state,county,2008D,2012D,2016D,2020D,2008R,2012R,2016R,2020R,2008O,2012O,2016O,2020O
SC,Greenville,72893,70630,70464,76271,115344,125465,128200,128961,12911,6850,17677,12192
SC,Greenwood,11730,11986,11199,9974,16715,17186,17222,17944,650,389,743,1108
SC,Hampton,5912,5981,5434,4889,3777,3551,3500,3626,111,80,128,180
SC,Horry,40372,40291,40202,39539,71673,78916,78139,89996,3452,2077,4085,3900
SC,Jasper,5775,5741,5720,6016,4370,4276,4633,5797,166,134,229,386
SC,Kershaw,10952,11344,10652,9807,16637,17358,17573,18952,670,427,789,1273
SC,Lancaster,12596,13293,13317,14192,18723,20133,21825,28684,868,457,1009,1432
SC,Laurens,10220,10599,9574,8306,15727,16139,16748,18870,497,311,568,803
SC,Lee,6025,6123,5509,4867,3346,3122,2950,2869,113,85,130,167
SC,Lexington,34279,34576,35180,36338,75592,83236,80027,83071,7047,3444,9730,9369
SC,McCormick,3018,2906,2640,2551,2787,2666,2609,2925,31,35,67,158
SC,Marion,9435,9813,8979,8007,5439,5428,5484,6292,185,171,238,379
SC,Marlboro,6622,6229,6126,5750,4337,3921,4158,4529,73,76,149,337
SC,Newberry,6714,6803,6315,5722,9732,9626,9864,10360,319,239,471,982
SC,Oconee,9129,8983,8509,7794,21707,22732,23493,26905,928,573,995,1249
SC,Orangeburg,26946,29986,26652,22002,11579,12486,12354,14021,440,247,491,661
SC,Pickens,11344,11608,10922,10167,34565,35562,35909,38542,1620,1021,1689,1634
SC,Richland,105812,106781,107356,107539,57336,54898,53472,55976,8749,4162,12348,11380
SC,Saluda,3577,3561,3081,2671,5549,5374,5427,5748,135,118,186,298
SC,Spartanburg,42100,42376,41203,39129,67923,73905,71656,78850,3799,2224,4163,2730
SC,Sumter,24301,25908,23913,20159,18778,20327,19391,19247,782,527,913,1441
SC,Union,5910,6021,5231,4322,7457,7029,7171,7305,208,196,269,424
SC,Williamsburg,10954,11460,10488,9293,5279,5156,4981,5006,176,161,211,296
SC,York,40134,39813,40782,41664,58540,63769,62303,69378,5589,2996,6874,5284
SD,Aurora,965,829,570,353,1017,969,884,1248,47,40,69,123
SD,Beadle,3334,3234,2567,1795,3811,4209,4336,6169,196,187,341,738
SD,Bennett,760,755,520,615,817,807,629,850,25,25,51,116
SD,Bon Homme,1559,1470,1010,537,1884,1923,1951,2770,78,78,130,253
SD,Brookings,6583,6021,5536,4297,5780,6252,6709,9473,493,411,890,2371
SD,Brown,8068,7629,6590,4603,7034,8121,9331,14971,439,483,927,2643
SD,Brule,1135,1080,741,569,1672,1658,1521,1853,71,61,115,215
SD,Buffalo,789,773,517,531,855,782,558,536,6,6,15,41
SD,Butte,1518,1297,951,467,3024,3147,3192,4234,155,155,253,497
SD,Campbell,919,782,572,463,873,811,652,801,17,18,18,27
SD,Charles Mix,1644,1715,1283,1270,2176,2302,2280,3194,23,40,86,242
SD,Clark,1049,978,651,443,1158,1202,1087,1601,61,45,87,148
SD,Clay,3733,3293,3037,2502,2246,2290,2180,2797,144,143,304,730
SD,Codington,5159,4903,4043,2603,5983,6638,7409,11116,364,300,611,1428
